name,location,tel_nomer,restaurant_link
Crossroads Kitchen Melrose,"8284 Melrose Ave, Los Angeles, CA 90046-6821",+1 323-782-9245,http://www.crossroadskitchen.com
Samurai Hibachi Grill,"1013 W Olympic Blv Olympic / Georgia, Los Angeles, CA 90015-1329",+1 323-799-6339,https://www.instagram.com/samuraihibachigrill/
Umami Burger,"1520 N Cahuenga Blvd, Los Angeles, CA 90028-7300",+1 323-469-3100,http://www.umamiburger.com/locations/hollywood/
Baby Blues BBQ,"444 Lincoln Blvd, Los Angeles, CA 90291-2829",+1 310-396-7675,http://babybluesvenice.com
Bossa Nova Brazilian Cuisine,"7181 W Sunset Blvd, Los Angeles, CA 90046-4417",+1 323-436-7999,http://www.bossafood.com
Stout Burgers & Beers,"1544 N Cahuenga Blvd Altra Sede in Santa Monica, Los Angeles, CA 90028-7313",+1 323-469-3801,http://www.stoutburgersandbeers.com/
Primo's Donuts Westwood Village,"10948 Weyburn Ave, Los Angeles, CA 90024-2809",+1 424-832-3861,http://www.primosdonuts.com
Baco Mercat,"408 S Main St, Los Angeles, CA 90013-1311",+1 213-687-7000,http://bacomercat.com/
Blujam Cafe,"7371 Melrose Ave, Los Angeles, CA 90046-7526",+1 323-951-9191,http://www.blujamcafe.com/menu/#post-2665-title
Cafe Santorini,"64 W Union St, Pasadena, CA 91103-3627",+1 626-564-4200,http://www.cafesantorini.com/
Perch,"448 S Hill St, Los Angeles, CA 90013-1155",+1 213-802-1770,http://perchla.com/
Katsuya,"6300 Hollywood Blvd, Los Angeles, CA 90028-6303",+1 323-871-8777,https://www.katsuyarestaurant.com/hollywood
Aroma Coffee & Tea,"4360 Tujunga Ave, Los Angeles, CA 91604-2751",+1 818-508-0677,http://aromacoffeeandtea.com
The Butcher's Daughter,"1205 Abbot Kinney Blvd, Los Angeles, CA 90291-3315",+1 310-981-3004,http://www.thebutchersdaughter.com
The Front Yard,"4222 Vineland Ave North Hollywood, Los Angeles, CA 91602-3318",+1 818-255-7290,http://www.thefrontyardla.com
Karl Strauss Brewing Company,"600 Wilshire Blvd Suite 100, Los Angeles, CA 90017-3212",+1 213-228-2739,https://www.karlstrauss.com/
Cecconi's West Hollywood,"8764 Melrose Ave, Los Angeles, CA 90069-5015",+1 310-432-2000,https://www.cecconiswesthollywood.com/
Superba Food + Bread,"1900 Lincoln Blvd, Los Angeles, CA 90291-3947",+1 310-907-5075,http://www.superbafoodandbread.com
Johnny Rockets,"6801 Hollywood Blvd Ste 325, Los Angeles, CA 90028-6144",+1 323-465-4456,http://www.johnnyrockets.com/
Osteria Mozza,"6602 Melrose Ave, Los Angeles, CA 90038-3410",+1 323-297-0100,http://la.osteriamozza.com/
Green Street Restaurant,"146 Shoppers Ln, Pasadena, CA 91101-2618",+1 626-577-7170,http://greenstreetrestaurant.com/
Animal,"435 N Fairfax Ave, Los Angeles, CA 90036-1716",+1 323-782-9225,http://www.animalrestaurant.com/
Mel's Drive-In,"1650 N Highland Ave, Los Angeles, CA 90028-6121",+1 323-465-2111,http://www.melsdrive-in.com/
The Stinking Rose,"55 N La Cienega Blvd, Beverly Hills, CA 90211-2204",+1 310-652-7673,http://www.thestinkingrose.com/bh/index.html
Culina,"300 S Doheny Dr Four Seasons Hotel Los Angeles at Beverly Hills, Los Angeles, CA 90048-3704",+1 310-860-4000,http://culinarestaurant.com/
Genwa Korean BBQ,"5115 Wilshire Blvd Ste A, Los Angeles, CA 90036-4366",+1 323-549-0760,http://genwakoreanbbq.com
Great White,"1604 Pacific Ave, Los Angeles, CA 90291-3614",+1 424-744-8403,http://greatwhitevenice.com/
california PIZZA KITCHEN,"6801 Hollywood Blvd Ste 255, West Hollywood, CA 90028-6136",+1 323-460-2080,https://www.cpk.com/Location/Details/Hollywood
Lawry's The Prime Rib,"100 N La Cienega Blvd, Beverly Hills, CA 90211-2207",+1 310-652-2827,https://www.lawrysonline.com/lawrys-the-prime-rib-beverly-hills/
The Terrace,"8358 W Sunset Blvd Sunset Tower Hotel, West Hollywood, CA 90069-1516",+1 323-654-7100,http://sunsettowerhotel.com/the-terrace
Café Gratitude Larchmont,"639 N Larchmont Blvd, Los Angeles, CA 90004-1310",+1 323-580-6383,http://cafegratitude.com/
Connie & Ted's,"8171 Santa Monica Blvd, West Hollywood, CA 90046-4912",+1 323-848-2722,http://www.connieandteds.com
Otium Restaurant,"222 S Hope St Next to The Broad museum, Los Angeles, CA 90012-3011",+1 213-935-8500,http://otiumla.com/
Canter's Deli,"419 N Fairfax Ave, Los Angeles, CA 90036-1716",+1 323-651-2030,http://www.cantersdeli.com
Maggiano's - Farmers Market,"189 The Grove Dr, Los Angeles, CA 90036-6222",+1 323-965-9665,http://www.maggianos.com
Ayara Thai Cuisine,"6245 W 87th St, Los Angeles, CA 90045-3901",+1 310-410-8848,http://www.ayarathaicuisine.com/
Yamashiro Hollywood,"1999 N Sycamore Ave, Los Angeles, CA 90068-3782",+1 323-466-5125,http://www.yamashirohollywood.com
Spice Affair,"50 N La Cienega Blvd Suite 120, Beverly Hills, CA 90211-2227",+1 310-400-6800,http://www.spice-affair.com
Slater's 50/50,"61 N Raymond Ave, Pasadena, CA 91103-3919",+1 626-765-9700,http://www.slaters5050.com
Swingers,"8020 Beverly Blvd, Los Angeles, CA 90048-4504",+1 323-653-5858,http://www.swingersdiner.com/
Faith & Flower,"705 W 9th St, Los Angeles, CA 90015-1428",+1 213-239-0642,http://faithandflowerla.com/
Good Neighbor,"3701 Cahuenga Blvd Studio City, Los Angeles, CA 91604-3503",+1 818-761-4627,http://losangeles.menupages.com/restaurants/good-neighbor-restaurant/
Pann's Restaurant,"6710 La Tijera Blvd, Los Angeles, CA 90045-2090",+1 323-776-3770,http://panns.com
Daily Grill,"5410 W Century Blvd, Los Angeles, CA 90045-5912",+1 310-665-0149,http://www.dailygrill.com/
Saddle Ranch Chop House,"8371 W Sunset Blvd, West Hollywood, CA 90069-1515",+1 323-656-2007,http://www.thesaddleranch.com
Apple Pan,"10801 W Pico Blvd, Los Angeles, CA 90064-2105",+1 310-475-3585,https://www.facebook.com/Apple-Pan-192506054129735/
Yard House,"800 West Olympic Boulevard A-115, Los Angeles, CA 90015",+1 213-745-9273,https://www.yardhouse.com/locations/ca/los-angeles/los-angeles-la-live/8321
Nobu Los Angeles,"903 North La cienega Boulevard, West Hollywood, CA 90069",+1 310-657-5711,https://www.noburestaurants.com/losangeles
Daikokuya,"2208 Sawtelle Blvd, Los Angeles, CA 90064-1706",+1 310-575-4999,http://www.daikoku-ten.com/locations/sawtelle/
Catch LA,"8715 Melrose Ave Corner of San Vicente, Los Angeles, CA 90069",+1 323-347-6060,https://www.catchrestaurants.com/location/catch-la/
Mi Piace,"25 E Colorado Blvd, Pasadena, CA 91105-1901",+1 626-795-3131,http://www.mipiace.com/
Wood Ranch BBQ & Grill,"189 The Grove Dr, Los Angeles, CA 90036-6222",+1 323-937-6800,http://www.woodranch.com/restaurants/thegrove/
JOEY DTLA,"700 W 7th St Ste S430, Los Angeles, CA 90017",+1 213-372-5335,http://joeyrestaurants.com/location/joey-dtla
Green Onion,"145 W 6th St San Pedro, Los Angeles, CA 90014-1903",+1 310-519-0631,http://Www.greenonionmexicanrestaurant.com
El Tepeyac,"812 N Evergreen Ave, Los Angeles, CA 90033-2620",+1 323-268-1960,http://manuelseltepeyac.com/
Park's BBQ,"955 S Vermont Ave, Los Angeles, CA 90006-1647",+1 213-380-1717,http://parksbbq.com
IHOP,"7006 W Sunset Blvd, Los Angeles, CA 90028-7510",+1 323-466-8370,http://www.ihop.com
Hard Rock Cafe,"6801 Hollywood Blvd Suite 105, Los Angeles, CA 90028-6136",+1 323-464-7625,https://www.hardrockcafe.com/location/hollywood-on-hollywood-blvd/#utm_source=rest_of_network&utm_medium=Yext&utm_campaign=Listings
Fleming's Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015-1360",+1 213-745-9911,https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles
Bavel,"500 Mateo St, Los Angeles, CA 90013-2222",+1 213-232-4966,http://www.bavelDTLA.com
The Palm - L.A. Downtown,"1100 S. Flower Street, Los Angeles, CA 90015",+1 213-763-4600,https://www.thepalm.com/location/the-palm-los-angeles/
Hinano Cafe,"15 Washington Blvd, Los Angeles, CA 90292-5123",+1 310-822-3902,http://hinanocafevenice.com
Luv2Eat Thai Bistro,"6660 W Sunset Blvd Unit P, Los Angeles, CA 90028-7178",+1 323-498-5835,http://www.luv2eatthai.com
El Coyote,"7312 Beverly Blvd, Los Angeles, CA 90036-2535",+1 323-939-2255,http://www.elcoyotecafe.com/
Gjelina,"1427 Abbot Kinney Blvd, Los Angeles, CA 90291-3740",+1 310-450-1429,http://www.gjelina.com
Mels Drive-In,"8585 W Sunset Blvd, West Hollywood, CA 90069-2329",+1 310-854-7200,http://www.melsdrive-in.com/hoursandlocations/westhollywood.html
El Compadre,"7408 W Sunset Blvd, Los Angeles, CA 90046-3404",+1 323-874-7924,http://elcompadrerestaurant.com/
Daikokuya Ramen,"327 E 1st St Little Tokyo, Los Angeles, CA 90012-3901",+1 213-626-1680,https://www.facebook.com/daikokuya
The Smoke House,"4420 W Lakeside Dr, Burbank, CA 91505-4016",+1 818-845-3731,http://www.smokehouse1946.com
Bludsos BBQ,"609 N La Brea Ave, Los Angeles, CA 90036-2013",+1 323-931-2583,http://www.barandque.com
Carney's,"12601 Ventura Blvd, Los Angeles, CA 91604-2415",+1 818-761-8300,http://www.carneytrain.com
Jino's Pars - Persian restaurant,"5844 W. Manchester Ave., Los Angeles, CA 90045-4419",+1 310-645-6666,http://www.jinospars.com/
True Food Kitchen,"168 W Colorado Blvd, Pasadena, CA 91105",+1 626-639-6818,https://www.truefoodkitchen.com/pasadena
Barney's Beanery,"8447 Santa Monica Blvd, West Hollywood, CA 90069-4220",+1 323-654-2287,http://www.barneysbeanery.com/
Osteria La Buca,"5210 1/2 Melrose Ave, Los Angeles, CA 90038-3145",+1 323-462-1900,http://www.osterialabuca.com/
Piccolo Paradiso,"150 S Beverly Dr, Beverly Hills, CA 90212-3003",+1 310-271-0030,http://www.giacominodrago.com
71Above Restaurant and Skylounge,"633 W 5th St 71st Floor, Los Angeles, CA 90071-2005",+1 213-712-2683,http://www.71above.com
Hae Jang Chon Korean BBQ Restaurant,"3821 W 6th St, Los Angeles, CA 90020-3901",+1 213-389-8777,http://www.haejangchon.com/
BOA Steakhouse,"9200 Sunset Blvd, West Hollywood, CA 90069",+1 310-278-2050,https://www.boasteak.com/
TART,"Farmer's Daughter 115 South Fairfax Avenue, Los Angeles, CA 90036",+1 323-556-2608,http://tartrestaurant.com
James Beach,"60 N Venice Blvd Venice, Los Angeles, CA 90291-4166",+1 310-823-5396,http://www.jamesbeach.com/
Masa of Echo Park,"1800 W Sunset Blvd, Los Angeles, CA 90026-3227",+1 213-989-1558,http://www.masaofechopark.com/
Sushi Katsu-ya,"11680 Ventura Blvd, Los Angeles, CA 91604-2613",+1 818-985-6976,http://www.katsu-yagroup.com/
Oomasa,"100 Alameda street 100 Japanese Village Plaza Mall, Los Angeles, CA 90012-3909",+1 213-623-9048,https://oomasala.com/
kitchen24,"8575 Santa Monica Blvd, West Hollywood, CA 90069-4120",+1 424-777-0959,http://kitchen24.info
Plan Check Kitchen & Bar,"1800 Sawtelle Blvd, Los Angeles, CA 90025-5516",+1 310-288-6500,http://www.plancheck.com
Pine & Crane,"1521 Griffith Park Blvd, Los Angeles, CA 90026-1049",+1 323-668-1128,http://www.pineandcrane.com/
Wolfgang Puck Bar & Grill - LA Live,"800 W Olympic Blvd Ste A180, Los Angeles, CA 90015-1374",+1 213-748-9700,http://wolfgangpuck.com/dining/wolfgang-puck-bar-and-grill-los-angeles
Koi Restaurant,"730 N La Cienega Blvd, West Hollywood, CA 90069-5204",+1 310-659-9449,http://www.koirestaurant.com/index2.html
Don Cuco,"3911 W Riverside Dr, Burbank, CA 91505-4327",+1 818-842-1123,http://doncuco.com
Running Goose,"1620 N Cahuenga Blvd, Los Angeles, CA 90028-6202",+1 323-469-1080,https://www.facebook.com/thegooseruns
Stout burgers and beers,"11262 Ventura Blvd, Los Angeles, CA 91604-3135",+1 818-505-0076,http://Www.stoutburgersandbeers.com
Spago Beverly Hills,"176 N Canon Dr, Beverly Hills, CA 90210-5304",+1 310-385-0880,http://wolfgangpuck.com/dining/spago-2/
Shiro,"1505 Mission St, South Pasadena, CA 91030-3215",+1 626-799-4774,http://restaurantshiro.com/
Little Dom's,"2128 Hillhurst Ave, Los Angeles, CA 90027-2012",+1 323-661-0055,http://www.littledoms.com
Sidewalk Cafe,"1401 Ocean Front Walk, Los Angeles, CA 90401-2113",+1 310-399-5547,https://www.facebook.com/sidewalkcafevb/
Denny's,"5535 W Century Blvd, Los Angeles, CA 90045",+1 310-410-1712,https://locations.dennys.com/CA/LOS-ANGELES/201918?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing&y_source=1_MjIyODg4Ni03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
SunCafe Organic,"10820 Ventura Blvd, Los Angeles, CA 91604-3338",+1 818-927-4100,http://www.suncafe.com
Caffe Pinguini,"6935 Pacific Ave, Los Angeles, CA 90293-7674",+1 310-306-0117,http://caffepinguini.com
Whole Foods Market,"788 S Grand Ave, Los Angeles, CA 90017",+1 213-873-4745,http://www.wholefoodsmarket.com/stores/downtownlosangeles
Sage Plant Based Bistro & Brewery,"1700 W Sunset Blvd Echo Park, Los Angeles, CA 90026-3225",+1 213-989-1718,http://www.sageveganbistro.com/
Border Grill Downtown LA,"445 S Figueroa St Suite 100, Los Angeles, CA 90071-1602",+1 213-486-5171,http://www.bordergrill.com
Urban Masala,"6554 Hollywood Blvd, Los Angeles, CA 90028-6217",+1 323-957-9999,http://theurbanmasala.com/
Marugame Monzo,"329 E. 1st , Los Angeles, California 90012, Los Angeles, CA",+1 213-346-9762,http://marugamemonzola.com/
Pink Taco,"8225 Sunset Blvd, Los Angeles, CA 90046",+1 323-380-7474,https://pinktaco.com/
Yard House,"300 East Colorado Blvd Ste 220, Pasadena, CA 91101",+1 626-577-9273,https://www.yardhouse.com/locations/ca/pasadena/pasadena-paseo-colorado/8307
Clifton's Republic,"648 S Broadway, Los Angeles, CA 90014-1807",+1 213-613-0000,http://theneverlands.com/cliftons-republic/
Joe's Falafel,"3535 Cahuenga Blvd W, Los Angeles, CA 90068-1353",+1 323-512-4447,http://www.joesfalafel.net
Cheebo,"7533 W Sunset Blvd, Los Angeles, CA 90046-3407",+1 323-850-7070,http://www.cheebo.com
Gladstones,"17300 Pacific Coast Hwy, Los Angeles, CA 90272-4169",+1 310-454-3474,http://gladstones.com/
Osteria Mamma,"5732 Melrose Ave, Los Angeles, CA 90038-3845",+1 323-466-3740,http://www.osteriamamma.com/
Pasta Sisters,"3343 W Pico Blvd, Los Angeles, CA 90019-4530",+1 323-870-5271,http://www.pastasisters.com/
Bossa Nova Brazilian Cuisine,"8630 W Sunset Blvd, West Hollywood, CA 90069-2302",+1 310-657-5070,http://www.bossafood.com/
The Serving Spoon Restaurant,"1403 Centinela Ave, Inglewood, CA 90302-1141",+1 310-412-3927,http://www.theservingspoon.net
Rex's Cafe,"2136 S Pacific Ave, Los Angeles, CA 90731-5922",+1 310-519-7190,https://www.facebook.com/Rexs-Cafe-275829825925047/
"The Butcher, The Baker, The Cappuccino Maker","8653 W Sunset Blvd, West Hollywood, CA 90069-2313",+1 310-360-6900,http://www.bbcmcafe.com/
Il Pastaio,"400 N Canon Dr, Beverly Hills, CA 90210-4820",+1 310-205-5444,http://www.giacominodrago.com/pastaio.htm
Hugo's,"12851 Riverside Dr Studio City, Los Angeles, CA 91607-3320",+1 818-761-8985,http://www.hugosrestaurant.com/
Granville,"12345 Ventura Blvd Silver Triangle District Studio City, Los Angeles, CA 91604-2511",+1 818-506-7050,http://www.granvillecafe.com
The Terrace at The Langham,"1401 S Oak Knoll Ave, Pasadena, CA 91106",+1 626-585-6218,http://www.langhamhotels.com/en/the-langham/pasadena/dining/the-terrace/?htl=tllax&amp&src=organic&amp&eng=yext&amp&size=na&amp&cid=terrace&y_source=1_MTQ3MjE3MTQtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D
Tsujita LA Artisan Noodle,"2050 Sawtelle Boulevard, Los Angeles, CA 90025",+13102310222,https://www.tsujita.com/
Kang Hodong Baekjeong,"3465 W 6th St Ste 20, Los Angeles, CA 90020-2567",+1 213-384-9678,http://www.baekjeongkbbq.com/
Shojin Organic and Natural,"333 S Alameda St Ste 310, Los Angeles, CA 90013-1735",+1 213-617-0305,http://www.theshojin.com/
Palermo Ristorante Italiano,"1858 N Vermont Ave, Los Angeles, CA 90027-4215",+1 323-663-1430,http://www.palermorestaurant.net
Nick's on South Lake Avenue,"336 S Lake Ave, Pasadena, CA 91101-3508",+1 626-787-1444,http://nicksrestaurants.com/nicks-pasadena/
Patys Restaurant,"10001 Riverside Dr, Los Angeles, CA 91602-2515",+1 818-761-0041,http://www.patysrestaurant.com
Chiba Restaurant,"7515 Lankershim Blvd, Los Angeles, CA 91605-2833",+1 818-765-9119,https://www.facebook.com/Chiba-Japanese-Restaurant-113527985347722/
Loteria Grill,"6627 Hollywood Blvd, Los Angeles, CA 90028-6285",+1 323-465-2500,http://loteriagrill.com/#/
NORMS Restaurant,"470 N La Cienega Blvd, Los Angeles, CA 90048-1907",+1 310-657-8333,http://norms.com/
Si Laa Thai,"1128 S Robertson Blvd, Los Angeles, CA 90035-1404",+1 310-858-7738,http://silaathai.com/
Asanebo,"11941 Ventura Blvd, Los Angeles, CA 91604-2607",+1 818-760-3348,http://asanebo-restaurant.com
Maude,"212 S Beverly Dr, Los Angeles, CA 90212-3805",+1 310-859-3418,http://www.mauderestaurant.com
Plant Food and Wine,"1009 Abbot Kinney Blvd Venice Beach, Los Angeles, CA 90291",+1 310-450-1009,https://www.matthewkenneycuisine.com/plant-food-wine-venice
Boa,"Sunset blv, Los Angeles, CA",+1 310-278-2050,http://www.innovativedining.com/restaurants/boa
Fratelli Cafe,"7200 Melrose Ave, Los Angeles, CA 90046-7656",+1 323-938-2233,http://www.fratellicafe.com/
Carousel Restaurant,"304 N Brand Blvd, Glendale, CA 91203-2304",+1 818-246-7775,http://www.carouselrestaurant.com/
Bistro 45,"45 S Mentor Ave, Pasadena, CA 91106-2901",+1 626-795-2478,http://www.bistro45.com/
N.10 Restaurant,"8436 W 3rd St, Los Angeles, CA 90048-4163",+1 310-924-2011,https://www.facebook.com/n10restaurant/
Sur Restaurant & Lounge,"606 N Robertson Blvd, Los Angeles, CA 90069-5017",+1 310-289-2824,http://surrestaurant.com/
Brera Ristorante,"1331 E 6th St, Los Angeles, CA 90021-1211",+1 213-553-8006,http://breraristorante.com/
Rao's,"1006 Seward St, Los Angeles, CA 90038-2521",+1 323-962-7267,http://www.raoshollywood.com
The Cafe,"1200 Getty Center Dr, Los Angeles, CA 90049-1679",+1 310-440-7300,http://www.getty.edu/visit/center/eat.html
Lala's Argentine Grill,"7229 Melrose Ave, Los Angeles, CA 90046-7619",+1 323-934-6838,http://menewly.com/lalas
The Morrison,"3179 Los Feliz Blvd, Los Angeles, CA 90039-1522",+1 323-667-1839,http://www.themorrisonla.com/
Amarone Kitchen & Wine,"8868 W Sunset Blvd, West Hollywood, CA 90069-2108",+1 310-652-2233,http://www.AmaroneLA.com
Chosun Galbee Restaurant,"3330 W Olympic Blvd, Los Angeles, CA 90019-2320",+1 323-734-3330,http://www.chosungalbee.com
Pizzicotto,"11758 San Vicente Blvd, Los Angeles, CA 90049-5010",+1 310-442-7188,http://www.pizzicottorestaurant.com
Noe Restaurant & Bar,"251 S Olive St Omni Los Angeles Hotel, Los Angeles, CA 90012-3002",+1 213-356-4100,http://www.omnihotels.com/hotels/los-angeles-california-plaza/dining/noe-restaurant
Umami Burger,"4655 Hollywood Blvd, Los Angeles, CA 90027-5413",+1 323-669-3922,http://www.umamiburger.com/locations/los-feliz/
Sizzler,"5856 W Manchester Ave, Los Angeles, CA 90045",+1 310-641-1167,http://www.sizzler.com
Pizzeria Il Fico,"310 S Robertson Blvd, Los Angeles, CA 90048-3806",+1 310-271-3426,http://fico-takeout.com/
Nick's Cafe,"1300 N Spring St, Los Angeles, CA 90012-1840",+1 323-222-1450,http://www.nickscafela.com/
KazuNori,"421 S Main St, Los Angeles, CA 90013-1310",+1 213-493-6956,http://www.handrollbar.com/downtown-los-angeles/
Bob's Big Boy Burbank,"4211 W Riverside Dr, Burbank, CA 91505-4146",+1 818-843-9334,http://www.bobs.net/
Real Food Daily - West Hollywood,"414 N La Cienega Blvd, Los Angeles, CA 90048-1907",+1 310-289-9910,http://www.realfood.com
CUT,"9500 Wilshire Blvd, Beverly Hills, CA 90212-2405",+1 310-276-8500,http://wolfgangpuck.com/dining/cut-beverly-hills/
22nd Street Landing Seafood Grill & Bar,"141 W 22nd St Ste A Second Floor, Los Angeles, CA 90731-7299",+1 310-548-4400,http://www.22ndstlandingrestaurant.com
Bao Dim Sum House,"8256 Beverly Blvd, Los Angeles, CA 90048-4516",+1 323-655-6556,http://www.baodimsum.com
Osawa Pasadena,"77 N Raymond Ave, Pasadena, CA 91103-3919",+1 626-683-1150,http://www.theosawa.com
Las Vegas Seafood Buffet,"110 S Brand Blvd, Glendale, CA 91204-1308",+1 818-662-9011,http://www.facebook.com/pages/Vegas-Seafood-Buffet/149724331791407?v=info
The Raymond Restaurant,"1250 S Fair Oaks Ave, Pasadena, CA 91105-3417",+1 626-441-3136,http://www.theraymond.com/
Papa Cristo's Greek Grill and Market,"2771 W Pico Blvd, Los Angeles, CA 90006-3913",+1 323-737-2970,http://www.papacristos.com
Eataly Los Angeles,"10250 Santa Monica Blvd., Los Angeles, CA 90067",+1 213-310-8000,https://www.eataly.com/us_en/stores/los-angeles
Granville,"121 N San Fernando Blvd, Burbank, CA 91502-1208",+1 818-848-4726,http://www.granvillecafe.com/home
Kanpai Sushi Bar and Grill,"8325 Lincoln Blvd, Los Angeles, CA 90045-2413",+1 310-338-7223,http://www.kanpai-sushi.net
Malbec,"1001 E Green St, Pasadena, CA 91106-2404",+1 626-683-0550,http://www.malbeccuisine.com/
Mastro's Steakhouse,"246 N Canon Dr, Beverly Hills, CA 90210",+1 310-888-8782,https://www.mastrosrestaurants.com/Locations/CA/Beverly-Hills-Steakhouse/
High Rooftop Lounge,"1697 Pacific Ave at the Hotel Erwin, Los Angeles, CA 90291-3613",+1 310-452-1111,http://www.hotelerwin.com/
Marino,"6001 Melrose Ave Advise customers about parking facilities., Los Angeles, CA 90038-3651",+1 323-466-8812,http://marinorestaurant.com/
Pump Lounge,"8948 Santa Monica Boulevad Corner Of Santa Monica and Robertson, West Hollywood, CA 90069-4902",+1 310-657-7867,http://pumprestaurant.com/
Hugo's,"8401 Santa Monica Blvd, West Hollywood, CA 90069-4209",+1 323-654-3993,http://hugosrestaurant.com
BCD Tofu House,"3575 Wilshire Blvd, Los Angeles, CA 90010-2303",+1 213-382-6677,http://www.bcdtofu.com/
Versailles Cuban Restaurant,"1415 S La Cienega Blvd, Los Angeles, CA 90035-3753",+1 310-289-0392,http://www.versaillescuban.com/
Miceli's,"3655 Cahuenga Blvd W, Los Angeles, CA 90068-1205",+1 323-851-3344,http://www.micelisrestaurant.com
The Kitchen,"4348 Fountain Ave, Los Angeles, CA 90029-2226",+1 323-664-3663,http://thekitchen.la
Candle Cafe & Grill,"325 Ocean Front Walk, Los Angeles, CA 90291-2409",+1 310-314-4456,http://candlecafevenicebeach.com/
mao's kitchen,"1512 Pacific Ave, Los Angeles, CA 90291-3612",+1 310-581-8305,http://www.maoskitchen.com/
Nat's Early Bite,"14115 Burbank Blvd, Los Angeles, CA 91401-4908",+1 818-781-3040,http://www.natsearlybite.com/
Urban Plates,"12746 W Jefferson Blvd Suite 3140, Los Angeles, CA 90094-2885",+1 424-256-7274,https://urbanplates.com/playa-vista/
Little Sister,"523 W 7th St, Los Angeles, CA 90014-2501",+1 213-628-3146,http://www.littlesisterla.com/
Casa Sanchez,"4500 S Centinela Ave, Los Angeles, CA 90066-6206",+1 310-397-9999,http://www.casa-sanchez.com
Ta-eem Grill,"7422 Melrose Ave, Los Angeles, CA 90046-7515",,http://ta-eemgrillinc.com/
